"","year","price_gram","price_total","kg_buche","kg_total","count_buche","condition_infer","condition","place","source","sp_sci","sp_com","tma","infl","p_g_r","p_t_r","y_dry"
"95",2018,NA,NA,NA,40,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"96",2018,NA,NA,NA,NA,417,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"97",2018,NA,NA,0.44,100,229,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"98",2014,34.14,NA,0.46,0.46,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,36.1884,NA,10.51
"99",2014,42.05,NA,0.37,0.37,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,44.573,NA,10.51
"100",2014,38.89,NA,0.07,0.07,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,41.2234,NA,10.51
"101",2014,39,NA,0.72,0.72,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,41.34,NA,10.51
"102",2014,35.9,NA,0.12,0.12,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,38.054,NA,10.51
"103",2014,32.56,NA,0.43,0.43,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,34.5136,NA,10.51
"104",2014,30.77,NA,0.46,0.46,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,32.6162,NA,10.51
"105",2014,15.5,NA,0.26,0.26,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,16.43,NA,10.51
"106",2014,27.5,NA,0.4,0.4,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,29.15,NA,10.51
"107",2014,52.5,NA,0.2,0.2,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,55.65,NA,10.51
