"","year","price_gram","price_total","kg_buche","kg_total","count_buche","condition_infer","condition","place","source","sp_sci","sp_com","tma","infl","p_g_r","p_t_r","y_dry"
"142",2017,19.34,NA,0.23,0.23,1,"Dry",NA,"China","EAL","Totoaba macdonaldi","Totoaba",1,1.02,19.7268,NA,14
"143",2017,16.58,NA,0.09,0.18,2,"Dry",NA,"China","EAL","Totoaba macdonaldi","Totoaba",1,1.02,16.9116,NA,14
"144",2017,NA,NA,0.21,0.21,1,"Dry",NA,"China","EAL","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"145",2017,34.48,NA,0.44,0.44,1,"Dry",NA,"China","EAL","Totoaba macdonaldi","Totoaba",1,1.02,35.1696,NA,14
"146",2017,25.23,NA,0.32,0.32,1,"Dry",NA,"China","EAL","Totoaba macdonaldi","Totoaba",1,1.02,25.7346,NA,14
"147",2017,27.21,NA,0.26,0.26,1,"Dry",NA,"China","EAL","Totoaba macdonaldi","Totoaba",1,1.02,27.7542,NA,14
"148",2017,0.12,NA,NA,NA,NA,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1.02,0.1224,NA,14
"149",2017,6,NA,2.2,2.2,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1.02,6.12,NA,14
"150",2018,3,NA,1,1,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,3,NA,15.5
"151",2018,0.1,500,NA,5,100,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,0.1,500,15.5
"152",2018,3,NA,0.9,0.9,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,3,NA,15.5
"153",2018,4.8,NA,1.5,1.5,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,4.8,NA,15.5
"154",2018,1.13,NA,0.2,0.2,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,1.13,NA,15.5
"155",2018,1.8,NA,0.5,0.5,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,1.8,NA,15.5
"156",2018,6.67,NA,1.5,1.5,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,6.67,NA,15.5
"157",2018,7,NA,0.5,0.5,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,7,NA,15.5
"158",2018,0.4,NA,0.25,1,4,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,0.4,NA,15.5
"159",2018,0.3,NA,0.35,0.35,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,0.3,NA,15.5
"160",2018,4,NA,0.45,0.45,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,4,NA,15.5
"161",2018,4.5,NA,0.5,0.5,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,4.5,NA,15.5
"162",2018,5,NA,NA,NA,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1,5,NA,15.5
"163",2017,4,NA,NA,NA,1,"Wet","Wet","Mexico","MC","Totoaba macdonaldi","Totoaba",1,1.02,4.08,NA,14
"164",2015,0.522,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Cynoscion acoupa","Acoupa weakfish",0,1.06,0.55332,NA,11.56
"165",2015,0.978,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Hemiarius dioctes","Warrior catfish",0,1.06,1.03668,NA,11.56
"166",2015,0.522,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Cynoscion acoupa","Acoupa weakfish",0,1.06,0.55332,NA,11.56
"167",2015,0.652,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Cynoscion acoupa","Acoupa weakfish",0,1.06,0.69112,NA,11.56
"168",2015,0.782,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Cynoscion acoupa","Acoupa weakfish",0,1.06,0.82892,NA,11.56
"169",2015,0.522,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Congesox talabonoides","Indian pike conger",0,1.06,0.55332,NA,11.56
"170",2015,0.782,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Congesox talabonoides","Indian pike conger",0,1.06,0.82892,NA,11.56
"171",2015,0.261,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Lates niloticus","Nile perch",0,1.06,0.27666,NA,11.56
"172",2015,0.156,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Lates niloticus","Nile perch",0,1.06,0.16536,NA,11.56
"173",2015,0.222,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Lates niloticus","Nile perch",0,1.06,0.23532,NA,11.56
"174",2015,0.156,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Lates niloticus","Nile perch",0,1.06,0.16536,NA,11.56
"175",2015,0.156,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Protonibea diacanthus","Blackspotted croaker",0,1.06,0.16536,NA,11.56
"176",2015,0.179,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Sciades parkeri","Gillbacker sea catfish",0,1.06,0.18974,NA,11.56
"177",2015,0.091,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Sciades proops","Crucifix sea catfish",0,1.06,0.09646,NA,11.56
"178",2015,0.117,NA,NA,NA,1,"Dry","Dry","China","Jing et al. 2015","Sciades proops","Crucifix sea catfish",0,1.06,0.12402,NA,11.56
"179",2007,0.04,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Unidentified","Unidentified",0,1.22,0.0488,NA,6.5
"180",2007,0.09,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Unidentified","Unidentified",0,1.22,0.1098,NA,6.5
"181",2007,0.5,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Cynoscion acoupa","Acoupa weakfish",0,1.22,0.61,NA,6.5
"182",2007,0.8,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Cynoscion acoupa","Acoupa weakfish",0,1.22,0.976,NA,6.5
"183",2007,1.8,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Otolithoides biauritus","Bronze croaker",0,1.22,2.196,NA,6.5
"184",2007,3,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Otolithoides biauritus","Bronze croaker",0,1.22,3.66,NA,6.5
"185",2007,0.12,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Lates niloticus","Nile perch",0,1.22,0.1464,NA,6.5
"186",2007,0.18,NA,NA,NA,1,"Dry","Dry","China","Tuuli et al., 2016","Lates niloticus","Nile perch",0,1.22,0.2196,NA,6.5
